category,welfareType,servId,servNm,region,agency,department,intrsThemaArray,lifeArray,srvPvsnNm,sprtCycNm,servDgst,servDtlLink,inqNum,contact
제도,지자체,WLF00002147,장애인인식개선 강사양성 및 자원봉사자 교육,경상북도,경상북도,경상북도 구미시 사회복지국 장애인복지과,,"청소년, 청년, 중장년, 노년",기타,1회성,장애인식개선강사 양성을 통한 진정한 사회통합추진,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002147&wlfareInfoReldBztpCd=02,902,
제도,지자체,WLF00002126,농아인평생교육운영,경상북도,경상북도,경상북도 구미시 사회복지국 장애인복지과,,"아동, 영유아, 노년, 청소년, 중장년, 청년",기타,년,"수화교육을 통하여 비장애인과의 의사소통의 불편함을 해결함으로 농아인의 원활한 사회참여 및 사회적응을 유도하고 특강 등 다체로운 프로그램 운영으로 자신감, 성취감을 향상시키고 가족화합을 이룸.",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002126&wlfareInfoReldBztpCd=02,1440,
제도,지자체,WLF00000912,저소득한부모가정자녀 특기교육비 지원,경기도,경기도,경기도 이천시 복지환경국 여성보육과,서민금융,"아동, 청소년",현금지급,월,저소득한부모가족 자녀의 학원비를 지원하여 사교육비 부담을 덜어주고 교육기회 제공,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000912&wlfareInfoReldBztpCd=02,10781,
제도,지자체,WLF00001570,청각장애인 인공달팽이관 재활치료 지원,경기도,경기도,경기도 파주시 복지정책국 노인장애인과,서민금융,"청소년, 청년, 중장년, 영유아, 아동",현금지급,수시,청각장애인 인공달팽이관 재활치료비 지원으로 의료비 부담 경감 사회·경제 활동 활성화 도모,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001570&wlfareInfoReldBztpCd=02,1011,
제도,지자체,WLF00000836,청소년보호활동 지원,경기도,경기도,경기도 의왕시 복지문화국 체육청소년과,,청소년,기타,월,청소년보호법 위반업소에 대한 단속 및 홍보를 강화하여 유해환경으로부터 청소년을 보호하고자 함,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000836&wlfareInfoReldBztpCd=02,710,
제도,지자체,WLF00002594,복지대상가정 자녀 학원 수강 교재비,경기도,경기도,경기도 동두천시 자치행정국 복지정책과,서민금융,"청소년, 아동",현금지급,월,복지대상가정 자녀 학원 수강 교재비 (매월 최대 80천 원),https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002594&wlfareInfoReldBztpCd=02,8242,
제도,지자체,WLF00001650,재해이재민 응급구호비,충청남도,충청남도,충청남도 공주시 교육복지국 복지정책과,,"중장년, 청년, 청소년, 노년, 영유아, 아동",현물지급,1회성,* 재해이재민 발생 시 이재민의 생활 안정을 위한 긴급구호물품 구입 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001650&wlfareInfoReldBztpCd=02,678,
제도,지자체,WLF00003342,저소득틈새지원사업,경상남도,경상남도,경상남도 거제시 복지국 사회복지과,서민금융,"중장년, 노년, 영유아, 아동, 청년, 청소년",현금지급,1회성,복지사각지대에 놓인 저소득대상자의 생계. 의료 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003342&wlfareInfoReldBztpCd=02,1780,
제도,지자체,WLF00000849,이재민 구호물자 지원,부산광역시,부산광역시,부산광역시 중구 경제복지국 복지정책과,서민금융,"노년, 아동, 영유아, 청년, 중장년, 청소년","현금지급, 현물지급",수시,재해 발생 시 이재민에 대한 구호를 실시함으로써 이재민의 보호와 생활안정에 기여,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000849&wlfareInfoReldBztpCd=02,557,
제도,지자체,WLF00002227,장애인 휠체어 보장구 수리비 지원,서울특별시,서울특별시,서울특별시 강남구 복지생활국 장애인복지과,서민금융,"청년, 중장년, 청소년, 노년, 영유아, 아동",현금지급,월,등록 장애인의 휠체어 수리 비용을 지원하여 지속적이고 안정적으로 휠체어를 사용할 수 있는 환경을 조성함으로써 장애인의 기본적인 이동권과 사회활동 참여 증진.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002227&wlfareInfoReldBztpCd=02,2111,
제도,지자체,WLF00002573,청각장애인 인공달팽이관 치료비,경기도,경기도,경기도 안양시 복지문화국 장애인복지과,서민금융,"아동, 영유아, 청소년",현금지급,분기,도비사업으로 당해연도 청각장애인 인공달팽이관 수술대상자 대하여 다음년도부터 3년간 재활치료비 지원 1인당 300만원이내,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002573&wlfareInfoReldBztpCd=02,611,
제도,지자체,WLF00000816,저소득 한부모가정 위문 격려(설날 및 추석),서울특별시,서울특별시,서울특별시 서초구 주민생활국 여성보육과,서민금융,"청소년, 중장년, 청년, 노년, 아동, 영유아",현금지급,반기,추석 설 명절을 맞이하여 우리구 저소득 한부모가족을 격려함으로써 소외되기쉬운 이들이 따뜻하고 훈훈한 명절을 보낼 수 있도록 하고자 함,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000816&wlfareInfoReldBztpCd=02,1950,
제도,지자체,WLF00001472,저소득장애인 생활안정지원 사업(청각장애아동 인공달팽이관 재활치료),경기도,경기도,경기도 광명시 사회복지국 장애인복지과,서민금융,"중장년, 청년, 청소년, 노년, 영유아, 아동",현금지급,1회성,장애인의 생활안정에 기여함,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001472&wlfareInfoReldBztpCd=02,766,
제도,지자체,WLF00002512,저소득 틈새계층 국민건강보험료 지원,서울특별시,서울특별시,서울특별시 중랑구 생활복지국 사회복지과,,"노년, 영유아, 아동, 중장년, 청년, 청소년",기타,월,"국민기초생활보장법상의 수급권자가 아닌, 저소득 틈새계층 중 건강보험료를 납부하지 못하여 의료사각지대에 놓인 구민들에게 국민건강보험료를 지원함으로써 건강증진과 복지향상에 기여",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002512&wlfareInfoReldBztpCd=02,1151,
제도,지자체,WLF00000609,이재민 구호,경상남도,경상남도,경상남도 거창군 경제복지국 복지정책과,안전·위기,"청소년, 청년, 중장년, 영유아, 아동, 노년",현물지급,1회성,- 갑작스런 화재발생 가구에 대한 위문품을 지원함으로써 재활기반 마련 - 의사상자에 대한 특별위로금 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000609&wlfareInfoReldBztpCd=02,662,
제도,지자체,WLF00002888,한부모가족 재학자녀 지원,경상남도,경상남도,경상남도 거제시 복지국 가족정책과,"서민금융, 교육","아동, 청소년",현금지급,월,저소득 한부모가족의 재학자녀에 대한 지원으로 경제적 부담 완화,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002888&wlfareInfoReldBztpCd=02,1373,
제도,지자체,WLF00001302,요보호아동 긴급 보호비,경기도,경기도,경기도 이천시 복지환경국 청년아동과,,"청소년, 아동",기타,1회성,일시적 보호가 필요한 요보호아동 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001302&wlfareInfoReldBztpCd=02,641,
제도,지자체,WLF00002358,행려자 귀가여비 보상,경상북도,경상북도,경상북도 영천시 문화관광복지국 사회복지과,서민금융,"청년, 중장년, 청소년, 노년, 영유아, 아동",현금지급,1회성,노숙인 등 행려자 귀가 여비 지원으로 행려자 보호에 기여함,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002358&wlfareInfoReldBztpCd=02,689,
제도,지자체,WLF00002248,무연고 사망자 장제비 지급,경상북도,경상북도,경상북도 영천시 문화관광복지국 사회복지과,,"아동, 영유아, 노년, 중장년, 청년, 청소년",기타,1회성,무연고 사망자 발생시 장제를 담당한 기관이나 개인에게 장제비를 지원함으로써 사회적 책무 이행과 고인의 존엄성을 유지하는 사업입니다.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002248&wlfareInfoReldBztpCd=02,2303,
제도,지자체,WLF00002055,저소득층 특별생계비 지원,제주특별자치도,제주특별자치도,제주특별자치도 서귀포시 복지위생국 주민복지과,서민금융,"아동, 영유아, 노년, 청소년, 청년, 중장년","현금지급, 프로그램/서비스(서비스)",월,실질적으로 생활이 곤란하지만 부양의무자 기준 등 기초생활보장 선정기준에 부적합하여 지원을 받지 못하는 저소득층에게 한시적으로 생계비 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002055&wlfareInfoReldBztpCd=02,10341,
제도,지자체,WLF00000428,저소득층 건강보험료 및 노인 장기요양보험료 지원,전라남도,전라남도,전라남도 해남군 복지정책과,,"노년, 영유아, 아동, 중장년, 청년, 청소년",기타,월,국민건강보험공단 지역가입가중 매월 보험료 부과액수가 보건복지부가 정한 최저보험료 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000428&wlfareInfoReldBztpCd=02,660,
제도,지자체,WLF00000996,저소득장애인주거환경 개선 사업,경기도,경기도,경기도 구리시 복지문화국 노인장애인복지과,,"청소년, 청년, 중장년, 아동, 영유아, 노년",기타,1회성,저소득층 장애인의 열악한 주거환경 개선을 도모함으로 쾌적한 삶의 환경 조성,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000996&wlfareInfoReldBztpCd=02,2190,
제도,지자체,WLF00003106,"장애인 전동휠체어,스쿠터 수리비 지원",충청북도,충청북도,충청북도 증평군 행정복지국 복지지원과,,"청소년, 청년, 영유아, 아동, 노년, 중장년",기타,1회성,장애인의 휠체어 및 전동 휠체어 · 스쿠터 수비리 지원을 통해 안전한 이동 및 경제적 부담을 완화하여 사회활동 참여를 도모하고자 함,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003106&wlfareInfoReldBztpCd=02,960,
제도,지자체,WLF00001253,행려자지원,대전광역시,대전광역시,대전광역시 유성구 주민복지국 생활보장과,"서민금융, 안전·위기","노년, 영유아, 아동, 중장년, 청년, 청소년","현금지급, 기타, 현물지급",년,무연고 사망자 장제처리 및 행려자 귀향여비 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001253&wlfareInfoReldBztpCd=02,1451,
